,Year,Brand,Name,Device,Form Factor,Architecture,Synthesis,Synthesis Details,Polyphony,Oscillators,Multitimbral,Keys,MIDI,Memory,Key type,Velocity,Aftertouch,Produced,Duration,Fame
2024,2016,Behringer,Behringer - Deepmind 12,Synth,Keys,Analog,Analog,VCO,12,2,1,49,True,True,Keys,True,channel,2016 - Present,9,0.4281376479675273
2025,2016,BASTL Instruments,Bastl Instruments - Kastle,Synth,Desktop,Digital,"Digital, Modular (Semi)","PD, PM",1,1,0,0,False,,,False,,2016 - Present,9,0.2266034275337625
2026,2016,Leploop,Leploop - Leploop V2,Synth,Desktop,Analog,Analog,VCO,1,2,0,0,True,,,False,,2016 - 2023,7,0.2479019019092029
2027,2017,Shear Electronics,Shear Electronics - Relic-6,Synth,Desktop,Analog,Analog,VCO,6,2,2,0,True,True,,False,,2017 - 2017,0,0.1824802805375622
2028,2017,Dave,Dave Smith Instruments Prophet Rev2 8 Desktop,Synth,Desktop,Analog,Analog,DCO,8,2,0,0,True,True,,True,,2017 - Present,8,0.2153868285200452
2029,2017,Soulsby,Soulsby - Miniatmegatron,Synth,Desktop,Digital,Digital,WT,1,1,0,0,True,True,,False,,2017 - 2021,4,0.1603847403402827
2030,2017,Roli,Roli - Seabord Block,Misc,Keys,Miscellaneous,Controller,Controller,0,0,0,0,True,,Keys,True,poly,2017 - 2021,4,0.3831899166975123
2031,2017,Sonicsmith,Sonicsmith - Convertor,Synth,Desktop,Analog,Analog,VCO,1,2,0,0,False,,,False,,2017 - Present,8,0.1550629286093904
2032,2017,Sismo,Sismo - Ona,Synth,Desktop,Analog,Analog,VCO,4,1,0,0,False,,,False,,2017 - 2017,0,0.1022815876953464
2033,2017,Teenage Engineering,Teenage Engineering - Po-32 Tonic,Drum,Desktop,Digital,Digital,"PM, ROM",16,1,16,0,False,,Buttons,False,False,2017 - Present,8,0.4593310343287682
2034,2017,Audiothingies,Audiothingies - Doubledrummer,Drum,Desktop,Digital,Digital,"VA, ROM",12,1,1,0,True,True,Buttons,False,False,2017 - 2020,3,0.1858071777894634
2035,2017,Sismo,Sismo - Mqn3,Synth,Desktop,Analog,Analog,VCO,2,2,0,0,False,,,False,,2017 - 2017,0,0.1403884569734893
2036,2017,Akai,Akai - Mpc X,Sampler,Desktop,Digital,Digital,Sample,16,1,16,0,True,True,Button,True,channel,2017 - Present,8,0.2730738506880831
2037,2017,Tribal Tools,Tribal Tools - Kadabra,Synth,Keytar,Digital,Digital,ROM,0,0,0,*,True,,,False,,2017 - Present,8,0.1134583950539782
2038,2017,Nozoid,Nozoid - Mmo-3,Synth,Desktop,Digital,Digital,Modular (Semi),1,3,1,0,True,,Buttons,False,False,2017 - Present,8,0.1803163852469196
2039,2017,Sismo,Sismo - Mqnx,Synth,Desktop,Analog,Analog,VCO,1,1,0,0,False,,,False,,2017 - 2017,0,0.1860995069792131
2040,2017,Behringer,Behringer Deepmind 12D,Synth,Desktop,Analog,Analog,DCO,12,2,0,0,True,True,,False,,2017 - Present,8,0.4552328772949012
2041,2017,Dave,Dave Smith Instruments Prophet 08 Rev2 16,Synth,Keys,Analog,Analog,DCO,16,2,0,61,True,True,,True,True,2017 - Present,8,0.1955461007063338
2042,2017,Tasty Chips Electronics,Tasty Chips Electronics - Gr-1,Synth,Desktop,Digital,Digital,"Sampling, Granular",16,1,0,0,True,True,,False,,2017 - Present,8,0.225857977913742
2043,2017,Yamaha,Yamaha - Mx88,Synth,Keys,Digital,Digital,AWM2,128,128,16,88,True,True,"Keys, Hammer action",True,channel,2017 - Present,8,0.1302914015878045
2044,2017,Cyclone,Cyclone Analogic Tt 303 Bass Bot V2,Synth,Desktop,Analog,Analog,VCO,1,1,0,0,True,True,,False,,2017 - Present,8,0.1849286735792208
2045,2017,Novation,Novation Peak,Synth,Desktop,Hybrid,Digital-Analog Hybrid,Hybrid,8,0,0,0,True,True,,False,,2017 - Present,8,0.5359818263658375
2046,2017,Black Corporation,Black Corporation - Deckard'S Dream,Synth,Rack,Analog,Analog,VCO,8,2,2,0,False,,,False,,2017 - Present,8,0.1740938485056138
2047,2017,Roland,Roland - Spd-One Electro,Drum,Desktop,Digital,Digital,ROM,1,0,1,0,True,,Pad,True,False,2017 - Present,8,0.1817801959959904
